Company Name,Year,CEO Name,CEO Total Compensation,Frontline Worker Salary
AbbVie,2024,Richard Gonzalez,75.00 million,"$58,000.00"
AbbVie,2023,Richard Gonzalez,70.75 million,"$56,585.37"
AbbVie,2022,Richard Gonzalez,66.75 million,"$55,205.23"
AbbVie,2021,Richard Gonzalez,62.97 million,"$53,858.77"
AbbVie,2020,Richard Gonzalez,59.41 million,"$52,545.14"
AbbVie,2019,Richard Gonzalez,56.04 million,"$51,263.55"
AbbVie,2018,Richard Gonzalez,52.87 million,"$50,013.22"
Adidas,2024,Bjørn Gulden,6.5 million,"$34,000.00"
Adidas,2023,Bjørn Gulden,6.3 million,"$33,800.00"
Adidas,2022,Bjørn Gulden,6.1 million,"$33,600.00"
Adidas,2021,Bjørn Gulden,5.8 million,"$33,400.00"
Adidas,2020,Bjørn Gulden,5.5 million,"$33,200.00"
Adidas,2019,Bjørn Gulden,5.2 million,"$33,000.00"
Adidas,2018,Bjørn Gulden,5.0 million,"$32,800.00"
Adobe,2024,Shantanu Narayen,51.00 million,"$43,500.00"
Adobe,2023,Shantanu Narayen,48.11 million,"$42,439.02"
Adobe,2022,Shantanu Narayen,45.39 million,"$41,403.93"
Adobe,2021,Shantanu Narayen,42.82 million,"$40,394.07"
Adobe,2020,Shantanu Narayen,40.40 million,"$39,408.85"
Adobe,2019,Shantanu Narayen,38.11 million,"$38,447.66"
Adobe,2018,Shantanu Narayen,35.95 million,"$37,509.91"
Ajinomoto,2024,Yoshinori Nakano,65.00 million,"$53,000.00"
Ajinomoto,2023,Yoshinori Nakano,61.32 million,"$51,707.32"
Ajinomoto,2022,Yoshinori Nakano,57.85 million,"$50,446.16"
Ajinomoto,2021,Yoshinori Nakano,54.58 million,"$49,215.77"
Ajinomoto,2020,Yoshinori Nakano,51.49 million,"$48,015.38"
Ajinomoto,2019,Yoshinori Nakano,48.57 million,"$46,844.28"
Ajinomoto,2018,Yoshinori Nakano,45.82 million,"$45,701.73"
Akamai,2024,Tom Leighton,15.00 million,"$30,000.00"
Akamai,2023,Tom Leighton,14.15 million,"$29,268.29"
Akamai,2022,Tom Leighton,13.35 million,"$28,554.43"
Akamai,2021,Tom Leighton,12.59 million,"$27,857.98"
Akamai,2020,Tom Leighton,11.88 million,"$27,178.52"
Akamai,2019,Tom Leighton,11.21 million,"$26,515.63"
Akamai,2018,Tom Leighton,10.57 million,"$25,868.91"
Allbirds,2024,Joey Zwillinger,5.10 million,"$31,400.00"
Allbirds,2023,Joey Zwillinger,4.86 million,"$30,784.31"
Allbirds,2022,Joey Zwillinger,4.63 million,"$30,180.70"
Allbirds,2021,Joey Zwillinger,4.41 million,"$29,588.92"
Allbirds,2020,Joey Zwillinger,4.20 million,"$29,008.75"
Allbirds,2019,Joey Zwillinger,4.00 million,"$28,439.95"
Allbirds,2018,Joey Zwillinger,3.81 million,"$27,882.30"
Allergan,2024,Brent Saunders,39.00 million,"$42,000.00"
Allergan,2023,Brent Saunders,36.79 million,"$40,975.61"
Allergan,2022,Brent Saunders,34.71 million,"$39,976.20"
Allergan,2021,Brent Saunders,32.75 million,"$39,001.18"
Allergan,2020,Brent Saunders,30.89 million,"$38,049.93"
Allergan,2019,Brent Saunders,29.14 million,"$37,121.88"
Allergan,2018,Brent Saunders,27.49 million,"$36,216.47"
Alnylam Pharmaceuticals,2024,John Maraganore,12.00 million,"$30,000.00"
Alnylam Pharmaceuticals,2023,John Maraganore,11.32 million,"$29,268.29"
Alnylam Pharmaceuticals,2022,John Maraganore,10.68 million,"$28,554.43"
Alnylam Pharmaceuticals,2021,John Maraganore,10.08 million,"$27,857.98"
Alnylam Pharmaceuticals,2020,John Maraganore,9.51 million,"$27,178.52"
Alnylam Pharmaceuticals,2019,John Maraganore,8.97 million,"$26,515.63"
Alnylam Pharmaceuticals,2018,John Maraganore,8.46 million,"$25,868.91"
Altra Running,2024,Chris Albrecht,6.90 million,"$34,600.00"
Altra Running,2023,Chris Albrecht,6.57 million,"$33,921.57"
Altra Running,2022,Chris Albrecht,6.26 million,"$33,256.44"
Altra Running,2021,Chris Albrecht,5.96 million,"$32,604.35"
Altra Running,2020,Chris Albrecht,5.68 million,"$31,965.05"
Altra Running,2019,Chris Albrecht,5.41 million,"$31,338.29"
Altra Running,2018,Chris Albrecht,5.15 million,"$30,723.81"
Amazfit,2024,Wayne Wang Huang,5.5 million,"$33,000.00"
Amazfit,2023,Wayne Wang Huang,5.2 million,"$33,000.00"
Amazfit,2022,Wayne Wang Huang,4.9 million,"$33,000.00"
Amazfit,2021,Wayne Wang Huang,4.6 million,"$33,000.00"
Amazfit,2020,Wayne Wang Huang,4.3 million,"$33,000.00"
Amazfit,2019,Wayne Wang Huang,4.0 million,"$33,000.00"
Amazfit,2018,Wayne Wang Huang,3.7 million,"$33,000.00"
Amazon,2024,Andy Jassy,34.00 million,"$40,000.00"
Amazon,2023,Andy Jassy,31.78 million,"$39,024.39"
Amazon,2022,Andy Jassy,29.70 million,"$38,072.58"
Amazon,2021,Andy Jassy,27.75 million,"$37,143.98"
Amazon,2020,Andy Jassy,25.94 million,"$36,238.03"
Amazon,2019,Andy Jassy,24.24 million,"$35,354.17"
Amazon,2018,Andy Jassy,22.66 million,"$34,491.87"
AMD,2024,Lisa Su,39.00 million,"$39,000.00"
AMD,2023,Lisa Su,36.79 million,"$38,048.78"
AMD,2022,Lisa Su,34.71 million,"$37,120.76"
AMD,2021,Lisa Su,32.75 million,"$36,215.38"
AMD,2020,Lisa Su,30.89 million,"$35,332.08"
AMD,2019,Lisa Su,29.14 million,"$34,470.32"
AMD,2018,Lisa Su,27.49 million,"$33,629.58"
Amgen,2024,Robert Bradway,30.00 million,"$38,000.00"
Amgen,2023,Robert Bradway,28.30 million,"$37,073.17"
Amgen,2022,Robert Bradway,26.70 million,"$36,168.95"
Amgen,2021,Robert Bradway,25.19 million,"$35,286.78"
Amgen,2020,Robert Bradway,23.76 million,"$34,426.12"
Amgen,2019,Robert Bradway,22.42 million,"$33,586.46"
Amgen,2018,Robert Bradway,21.15 million,"$32,767.28"
Amway,2024,Milind Pant,38.00 million,"$41,000.00"
Amway,2023,Milind Pant,35.85 million,"$40,000.00"
Amway,2022,Milind Pant,33.82 million,"$39,024.39"
Amway,2021,Milind Pant,31.91 million,"$38,072.58"
Amway,2020,Milind Pant,30.10 million,"$37,143.98"
Amway,2019,Milind Pant,28.40 million,"$36,238.03"
Amway,2018,Milind Pant,26.79 million,"$35,354.17"
Analog Devices,2024,Vincent Roche,27.00 million,"$34,500.00"
Analog Devices,2023,Vincent Roche,25.47 million,"$33,658.54"
Analog Devices,2022,Vincent Roche,24.03 million,"$32,837.60"
Analog Devices,2021,Vincent Roche,22.67 million,"$32,036.68"
Analog Devices,2020,Vincent Roche,21.39 million,"$31,255.30"
Analog Devices,2019,Vincent Roche,20.18 million,"$30,492.97"
Analog Devices,2018,Vincent Roche,19.03 million,"$29,749.24"
