Brand,Product Name,Product Type,Category,Gender,Production Year,Profit Margin,Profit Made,Release Price,Wholesale Price,Link to Product Pictures
Versace,Lux Matte Lipstick,Lipstick,Makeup,Women,2025,78.00%,$50.70,$65.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Lux%20Matte%20Lipstick%2025.Webp
Versace,V-Sculpting Foundation,Foundation,Makeup,Women,2025,80.00%,$68.00,$85.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20V-Sculpting%20Foundation%2025.Jpeg
Versace,Glamour Palette Eyeshadow,Eyeshadow,Makeup,Women,2025,77.00%,$53.90,$70.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Glamour%20Eyeshadow%20Palette%2025.Webp
Versace,Precision Liquid Eyeliner Eyeliner,Eyeliner,Makeup,Women,2025,79.00%,$43.45,$55.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Golden%20Glow%20Highlighter%2025.Jpeg
Versace,Golden Glow Highlighter,Highlighter,Makeup,Women,2025,76.00%,$68.40,$90.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Golden%20Glow%20Highlighter%2025.Jpeg
Versace,Satin Luxe Blush,Blush,Makeup,Women,2024,78.00%,$53.04,$68.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Satin%20Luxe%20Blush%2025.Jpeg
Versace,Brow Shaping Gel Eyebrow,Eyebrow,Eyebrow,Women,2024,80.00%,$46.40,$58.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Brow%20Shaping%20Gel%2025.Jpeg
Versace,Radiant Finish Foundation,Foundation,Makeup,Women,2024,77.00%,$67.76,$88.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Radiant%20Finish%20Foundation%2025.Webp
Versace,Hydrating Concealer Stick Face,Concealer,Makeup,Women,2024,79.00%,$56.88,$72.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Hydrating%20Concealer%20Stick%2025.Webp
Versace,Signature Glow Powder,Powder,Bodycare,Women,2024,76.00%,$72.20,$95.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Signature%20Glow%20Powder%2024.Jpeg
Versace,Ultra-Pigment Lip Stain,Lip Stain,Makeup,Women,2023,78.00%,$54.60,$70.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Ultra-Pigment%20Lip%20Stain%2023.Jpeg
Versace,Volume Boost Mascara,Mascara,Makeup,Women,2023,80.00%,$48.00,$60.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Volume%20Boost%20Mascara%2023.Jpeg
Versace,Illuminating Skin Serum,Serum,Bodycare,Women,2023,77.00%,$69.30,$90.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Illuminating%20Skin%20Serum%2023.Jpeg
Versace,Perfect Brow Pencil Eyebrow,Eyebrow,Eyebrow,Women,2023,79.00%,$41.08,$52.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Perfect%20Brow%20Pencil%2023.Webp
Versace,Soft Focus Blush,Blush,Makeup,Women,2023,76.00%,$64.60,$85.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Soft%20Focus%20Blush%2023.Jpeg
Versace,Lip & Cheek Tint,Tint,Makeup,Women,2022,78.00%,$51.48,$66.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Lip%20%26%20Cheek%20Tint%2022.Jpeg
Versace,Matte Finish Pressed Powder,Powder,Bodycare,Women,2022,80.00%,$48.00,$60.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Matte%20Finish%20Pressed%20Powder%2022.Jpeg
Versace,Flawless Finish Foundation,Foundation,Makeup,Women,2022,77.00%,$65.45,$85.00,,Https://Storage.Cloud.Google.Com/Versec-25/Versace%20Flawless%20Finish%20Foundation%2022.Jpeg
