Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Retial Profit Margin
Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png,$1.19,$1.49,25.21%
Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.31,$2.49,90.08%
Sanderson Farms,Chicken Wings Split,Chicken Wings,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp,$1.73,$3.49,101.73%
Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.82,$3.99,119.23%
Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks ,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp,$0.55,$1.29,134.55%
Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.66,$1.79,171.21%
Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$2.03,$2.99,47.29%
Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.74,$1.99,14.37%
Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.53,$4.99,97.23%
Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png,$1.91,$2.49,30.37%
Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.88,$1.59,80.68%
Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.56,$0.99,76.79%
Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2025,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.90,$1.49,65.56%
Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png,$1.10,$1.84,67.27%
Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.10,$1.84,67.27%
Sanderson Farms,Chicken Wings Split,Chicken Wings,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp,$3.00,$4.34,44.67%
Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.65,$3.79,129.70%
Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp,$0.52,$1.19,128.85%
Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks,2024,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.62,$1.69,170.83%
Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.95,$2.79,43.08%
Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.68,$1.89,12.50%
Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.40,$4.69,95.42%
Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png,$1.85,$2.29,23.78%
Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2024,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.84,$1.49,77.38%
Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.53,$0.95,79.25%
Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2024,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.87,$1.39,59.77%
Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png,$1.15,$1.80,56.52%
Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.15,$1.80,56.52%
Sanderson Farms,Chicken Wings Split,Chicken Wings,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp,$2.80,$4.15,48.21%
Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.65,$3.79,129.70%
Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp,$0.52,$1.19,128.85%
Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks,2023,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.62,$1.69,170.83%
Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.95,$2.79,43.08%
Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.68,$1.89,12.50%
Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.40,$4.69,95.42%
Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png,$1.85,$2.29,23.78%
Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2023,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.84,$1.49,77.38%
Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.53,$0.95,79.25%
Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2023,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.87,$1.39,59.77%
Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png,$1.10,$1.70,54.55%
Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.10,$1.70,54.55%
Sanderson Farms,Chicken Wings Split,Chicken Wings,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp,$2.60,$3.85,48.08%
Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.65,$3.79,129.70%
Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp,$0.52,$1.19,128.85%
Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks,2022,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.62,$1.69,170.83%
Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.95,$2.79,43.08%
Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.68,$1.89,12.50%
Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.40,$4.69,95.42%
Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png,$1.85,$2.29,23.78%
Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2022,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.84,$1.49,77.38%
Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.53,$0.95,79.25%
Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2022,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.87,$1.39,59.77%
Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png,$1.05,$1.60,52.38%
Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.05,$1.60,52.38%
Sanderson Farms,Chicken Wings Split,Chicken Wings,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp,$2.40,$3.55,47.92%
Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.65,$3.79,129.70%
Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp,$0.52,$1.19,128.85%
Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks,2021,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.62,$1.69,170.83%
Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.95,$2.79,43.08%
Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png,$1.68,$1.89,12.50%
Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.40,$4.69,95.42%
Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png,$1.85,$2.29,23.78%
Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2021,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg,$0.84,$1.49,77.38%
Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.53,$0.95,79.25%
Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2021,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png,$0.87,$1.39,59.77%
Pilgrim's Pride,Whole Chicken No Giblets,Whole Chicken ,2025,https://storage.googleapis.com/aysa-meats/Checken%20Whole%20Chicken.jpeg,$1.18,$1.59,3474.58%
Pilgrim's Pride,Whole Chicken Spatchcook,Whole Chicken ,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg,$1.30,$2.59,9953.78%
Pilgrim's Pride,Chicken Wings Split,Chicken Wings,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Wings.jpeg,$1.72,$3.59,10872.09%
Pilgrim's Pride,Chicken Wings Drumettes,Chicken Wings,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg,$1.81,$4.09,12646.73%
Pilgrim's Pride,Chicken Drumsticks Skin-on,Chicken Drumsticks,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Drumstick.jpeg,$0.54,$1.39,15740.74%
Pilgrim's Pride,Chicken Drumsticks Skinless,Chicken Drumsticks,2025,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg,$0.65,$1.89,19166.67%
Pilgrim's Pride,Chicken Strips,Chicken Strips,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg,$2.20,$4.59,108.64%
Pilgrim's Pride,Chicken Breast Bone-in Breast,Chicken Breast ,2025,https://storage.googleapis.com/aysa-meats/Chicken%20Bone-in%20Breast%20.jpeg,$1.73,$2.09,20.81%
Pilgrim's Pride,Chicken Breast Boneless Breast,Chicken Breast ,2025,https://storage.googleapis.com/aysa-meats/Chicken%20boneless%20Breast.jpeg,$2.02,$3.19,57.92%
