,Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Profit Made,Profit Margin,Latest Url
0,Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20whole%20chicken.png,$1.19,$1.49,$0.30,26.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png
1,Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2025,https://storage.googleapis.com/aysa-meat-pics/chicken%20whole%20chicken%20%20spatchcook%20c%20.jpeg,$1.31,$2.49,$1.18,91.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg
2,Sanderson Farms,Chicken Wings Split,Chicken Wings,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20wings%20.webp,$1.73,$3.49,$1.76,102.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp
3,Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2025,https://storage.googleapis.com/aysa-meat-pics/chicken%20wings%20drumettes.jpeg,$1.82,$3.99,$2.17,120.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg
4,Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks ,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20drumsticks%20.webp,$0.55,$1.29,$0.74,135.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp
5,Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks ,2025,https://storage.googleapis.com/aysa-meat-pics/chicken%20drumsticks%20skinless.jpeg,$0.66,$1.79,$1.13,172.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg
6,Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20breast.png,$2.03,$2.99,$0.96,48.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png
7,Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20breast.png,$1.74,$1.99,$0.25,15.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png
8,Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2025,https://storage.googleapis.com/aysa-meats/chicken%20strips.jpeg,$2.53,$4.99,$2.46,98.00%,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg
9,Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20thighs.png,$1.91,$2.49,$0.58,31.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png
10,Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2025,https://storage.googleapis.com/aysa-meats/chicken%20thighs.jpeg,$0.88,$1.59,$0.71,81.00%,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg
11,Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20legs%20%20.png,$0.56,$0.99,$0.43,77.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png
12,Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2025,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20legs%20%20.png,$0.90,$1.49,$0.59,66.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png
13,Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20whole%20chicken.png,$1.10,$1.84,$0.74,68.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png
14,Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2024,https://storage.googleapis.com/aysa-meat-pics/chicken%20whole%20chicken%20%20spatchcook%20c%20.jpeg,$1.10,$1.84,$0.74,68.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg
15,Sanderson Farms,Chicken Wings Split,Chicken Wings,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20wings%20.webp,$3.00,$4.34,$1.34,45.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp
16,Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2024,https://storage.googleapis.com/aysa-meat-pics/chicken%20wings%20drumettes.jpeg,$1.65,$3.79,$2.14,130.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg
17,Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20drumsticks%20.webp,$0.52,$1.19,$0.67,129.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp
18,Sanderson Farms,Chicken Drumsticks Skinless,Chicken Drumsticks,2024,https://storage.googleapis.com/aysa-meat-pics/chicken%20drumsticks%20skinless.jpeg,$0.62,$1.69,$1.07,171.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Drumsticks%20Skinless.jpeg
19,Sanderson Farms,Chicken Breast Boneless/Skinless,Chicken Breast ,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20breast.png,$1.95,$2.79,$0.84,44.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png
20,Sanderson Farms,Chicken Breast Bone-in Skin-on,Chicken Breast ,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20breast.png,$1.68,$1.89,$0.21,13.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Breast.png
21,Sanderson Farms,Chicken Breast Tenderloins (Tenders),Chicken Breast ,2024,https://storage.googleapis.com/aysa-meats/chicken%20strips.jpeg,$2.40,$4.69,$2.29,96.00%,https://storage.googleapis.com/aysa-meats/Chicken%20Strips.jpeg
22,Sanderson Farms,Chicken Thighs Boneless/Skinless,Chicken Thighs,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20thighs.png,$1.85,$2.29,$0.44,24.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Thighs.png
23,Sanderson Farms,Chicken Thighs Bone-in Skin-on,Chicken Thighs,2024,https://storage.googleapis.com/aysa-meats/chicken%20thighs.jpeg,$0.84,$1.49,$0.65,78.00%,https://storage.googleapis.com/aysa-meats/Chicken%20Thighs.jpeg
24,Sanderson Farms,Chicken Legs Leg Quarters,Chicken Legs,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20legs%20%20.png,$0.53,$0.95,$0.42,80.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png
25,Sanderson Farms,Chicken Legs Whole Leg,Chicken Legs,2024,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20legs%20%20.png,$0.87,$1.39,$0.52,60.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Legs%20%20.png
26,Sanderson Farms,Whole Chicken No Giblets,Whole Chicken ,2023,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20whole%20chicken.png,$1.15,$1.80,$0.65,57.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Whole%20Chicken.png
27,Sanderson Farms,Whole Chicken Spatchcook,Whole Chicken ,2023,https://storage.googleapis.com/aysa-meat-pics/chicken%20whole%20chicken%20%20spatchcook%20c%20.jpeg,$1.15,$1.80,$0.65,57.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Whole%20Chicken%20%20Spatchcook%20C%20.jpeg
28,Sanderson Farms,Chicken Wings Split,Chicken Wings,2023,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20chicken%20wings%20.webp,$2.80,$4.15,$1.35,49.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Chicken%20Wings%20.webp
29,Sanderson Farms,Chicken Wings Drumettes,Chicken Wings,2023,https://storage.googleapis.com/aysa-meat-pics/chicken%20wings%20drumettes.jpeg,$1.65,$3.79,$2.14,130.00%,https://storage.googleapis.com/aysa-meat-pics/Chicken%20Wings%20Drumettes.jpeg
30,Sanderson Farms,Chicken Drumsticks Skin-on,Chicken Drumsticks,2023,https://storage.cloud.google.com/aysa-meat-pics/sanderson%20drumsticks%20.webp,$0.52,$1.19,$0.67,129.00%,https://storage.cloud.google.com/aysa-meat-pics/Sanderson%20Drumsticks%20.webp
